datetime,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Cloud Type,Dew Point,Relative Humidity,Solar Zenith Angle,Requested Year,date,Cluster_Label,GHI_Filtered
2021-01-01 07:30:00,2021,1,1,7,30,9,9,1,1.6,-5.0,8,-8.7,75.53,89.13,2021,2021-01-01,Gunesli,15.505050505050535
2021-01-01 08:00:00,2021,1,1,8,0,70,41,310,1.8,-3.8,0,-7.9,73.2,84.54,2021,2021-01-01,Gunesli,59.59595959595964
2021-01-01 08:30:00,2021,1,1,8,30,105,75,177,2.0,-2.7,4,-7.9,67.44,80.08,2021,2021-01-01,Gunesli,101.28210678210685
2021-01-01 09:00:00,2021,1,1,9,0,140,129,45,2.2,-1.6,4,-6.8,67.48,75.95,2021,2021-01-01,Gunesli,143.75541125541136
2021-01-01 09:30:00,2021,1,1,9,30,184,179,15,2.0,-0.7,4,-6.8,63.18,72.24,2021,2021-01-01,Gunesli,190.20779220779198
2021-01-01 10:00:00,2021,1,1,10,0,232,226,16,1.8,0.1,4,-6.5,61.03,69.03,2021,2021-01-01,Gunesli,250.05194805194776
2021-01-01 10:30:00,2021,1,1,10,30,326,292,86,1.6,0.7,4,-6.5,58.44,66.4,2021,2021-01-01,Gunesli,323.01731601731564
2021-01-01 11:00:00,2021,1,1,11,0,385,303,191,1.4,1.4,4,-6.5,55.83,64.41,2021,2021-01-01,Gunesli,395.424242424242
2021-01-01 11:30:00,2021,1,1,11,30,476,128,770,1.2,1.9,0,-6.5,53.87,63.15,2021,2021-01-01,Gunesli,454.99134199134147
2021-01-01 12:00:00,2021,1,1,12,0,505,73,941,0.9,2.4,0,-6.5,51.96,62.64,2021,2021-01-01,Gunesli,492.6450216450211
2021-01-01 12:30:00,2021,1,1,12,30,500,72,940,0.8,2.8,0,-6.5,50.5,62.91,2021,2021-01-01,Gunesli,500.4675324675319
2021-01-01 13:00:00,2021,1,1,13,0,479,69,933,0.6,3.1,0,-6.6,49.14,63.94,2021,2021-01-01,Gunesli,485.610389610389
2021-01-01 13:30:00,2021,1,1,13,30,445,67,920,0.7,3.2,0,-6.6,48.8,65.71,2021,2021-01-01,Gunesli,445.9956709956705
2021-01-01 14:00:00,2021,1,1,14,0,396,62,897,0.9,3.3,0,-6.6,48.24,68.15,2021,2021-01-01,Gunesli,395.11688311688266
2021-01-01 14:30:00,2021,1,1,14,30,335,58,860,0.9,2.7,0,-6.6,50.33,71.2,2021,2021-01-01,Gunesli,332.24242424242385
2021-01-01 15:00:00,2021,1,1,15,0,263,52,804,0.9,2.2,0,-6.0,54.67,74.76,2021,2021-01-01,Gunesli,260.121212121212
2021-01-01 15:30:00,2021,1,1,15,30,181,51,669,0.9,0.5,0,-6.0,61.75,78.77,2021,2021-01-01,Gunesli,182.7373737373735
2021-01-01 16:00:00,2021,1,1,16,0,99,36,526,0.9,-1.2,0,-7.2,63.55,83.13,2021,2021-01-01,Gunesli,103.60101010100988
2021-01-01 16:30:00,2021,1,1,16,30,29,18,269,1.0,-1.8,0,-7.2,66.49,87.73,2021,2021-01-01,Gunesli,26.222222222221887
2021-01-02 07:30:00,2021,1,2,7,30,15,12,197,4.3,-4.4,0,-13.3,49.86,89.15,2021,2021-01-02,Gunesli,12.373737373737377
2021-01-02 08:00:00,2021,1,2,8,0,84,24,628,4.6,-3.2,0,-12.5,48.63,84.55,2021,2021-01-02,Gunesli,88.61616161616172
2021-01-02 08:30:00,2021,1,2,8,30,168,33,784,4.8,-1.7,0,-12.5,43.52,80.08,2021,2021-01-02,Gunesli,169.00793650793668
2021-01-02 09:00:00,2021,1,2,9,0,252,39,875,5.0,-0.1,0,-11.4,42.26,75.94,2021,2021-01-02,Gunesli,249.59956709956728
2021-01-02 09:30:00,2021,1,2,9,30,329,44,933,5.0,1.3,0,-11.4,38.15,72.22,2021,2021-01-02,Gunesli,326.4415584415581
2021-01-02 10:00:00,2021,1,2,10,0,396,48,971,5.0,2.7,0,-10.9,35.99,69.0,2021,2021-01-02,Gunesli,395.0779220779216
2021-01-02 10:30:00,2021,1,2,10,30,451,51,997,4.8,3.6,0,-10.9,33.77,66.35,2021,2021-01-02,Gunesli,451.0259740259735
2021-01-02 11:00:00,2021,1,2,11,0,493,55,1013,4.6,4.6,0,-11.2,30.87,64.35,2021,2021-01-02,Gunesli,492.3722943722938
2021-01-02 11:30:00,2021,1,2,11,30,519,56,1023,4.4,5.1,0,-11.2,29.82,63.07,2021,2021-01-02,Gunesli,518.1212121212114
2021-01-02 12:00:00,2021,1,2,12,0,530,57,1026,4.3,5.5,0,-11.4,28.44,62.55,2021,2021-01-02,Gunesli,527.5454545454539
2021-01-02 12:30:00,2021,1,2,12,30,520,57,1014,4.2,5.5,0,-11.4,28.44,62.8,2021,2021-01-02,Gunesli,520.3722943722938
2021-01-02 13:00:00,2021,1,2,13,0,497,56,999,4.2,5.6,0,-11.2,28.71,63.83,2021,2021-01-02,Gunesli,501.6883116883111
2021-01-02 13:30:00,2021,1,2,13,30,459,56,976,4.1,5.1,0,-11.2,29.72,65.59,2021,2021-01-02,Gunesli,466.53246753246697
