City,P_MAE,A_MAE,P_RMSE,A_RMSE,P_MSE,A_MSE,P_R2,A_R2,P_r,A_r,P_nRMSE,A_nRMSE,P_nMAE,A_nMAE,P_MAPE,A_MAPE,Accuracy,Precision,Recall,F1-Score,ROC AUC
Sevilla_ES,143.83,98.11,189.34,130.97,35847.96,17152.59,0.1569,0.5966,0.7959,0.8441,64.22,44.42,48.78,33.27,136.31,107.31,89.05,71.92,99.19,83.38,97.15
Almeria_ES,120.94,81.58,159.67,114.48,25493.91,13104.94,0.5007,0.7433,0.8548,0.8964,47.75,34.23,36.17,24.4,105.88,87.18,91.81,79.53,98.86,88.15,98.28
Tucson_AZ,176.26,77.17,199.94,109.44,39977.22,11976.55,0.3904,0.8174,0.7308,0.9156,51.75,28.33,45.62,19.97,184.6,66.11,81.51,67.16,87.9,76.14,92.91
LasVegas_NV,178.41,86.4,205.76,122.19,42339.09,14930.35,0.2793,0.7458,0.6903,0.8929,60.45,35.9,52.41,25.38,209.19,94.41,79.57,60.96,86.55,71.54,91.06
Muscat_OM,60.8,60.3,83.55,86.78,6980.81,7530.2,0.9031,0.8955,0.9507,0.9571,19.64,20.4,14.29,14.17,52.89,50.18,97.23,94.18,98.36,96.23,99.72
London_UK,163.99,119.1,191.63,139.81,36722.61,19546.94,-1.3879,-0.2711,0.7123,0.7173,128.95,94.08,110.35,80.15,254.63,216.16,79.4,37.82,98.5,54.66,94.8
Seattle_WA,178.61,116.95,204.92,139.28,41992.22,19398.2,-0.5081,0.3033,0.524,0.8112,111.32,75.66,97.03,63.53,325.8,220.49,73.69,35.22,83.61,49.56,87.31
Berlin_DE,150.08,115.58,177.92,134.29,31654.54,18034.35,-0.5265,0.1303,0.7366,0.7918,108.62,81.98,91.62,70.56,258.39,218.88,81.19,41.2,99.38,58.25,96.22
Singapore_SG,100.37,104.5,129.74,134.11,16833.2,17986.81,0.7922,0.778,0.9069,0.9294,31.23,32.28,24.16,25.15,69.08,102.88,95.81,90.79,98.72,94.59,99.16
Mumbai_IN,95.17,36.93,108.84,47.5,11846.12,2256.35,0.8623,0.9738,0.9581,0.9911,23.04,10.05,20.15,7.82,68.02,36.76,95.96,95.07,94.21,94.64,98.93
Miami_FL,164.86,98.5,197.79,134.54,39119.76,18101.92,0.3984,0.7216,0.7478,0.8899,51.97,35.35,43.32,25.88,166.08,95.74,85.14,71.37,92.06,80.4,95.38
Oslo_NO,206.09,107.25,228.17,123.07,52063.23,15145.84,-4.0497,-0.469,0.5348,0.6795,213.19,114.98,192.55,100.2,452.08,252.57,72.43,17.28,99.32,29.44,93.15
Anchorage_AK,149.19,94.84,170.06,106.69,28920.73,11383.24,-1.4386,0.0402,0.3059,0.8677,130.81,82.06,114.75,72.95,317.21,198.34,61.66,14.74,67.26,24.18,73.71
Toronto_CA,166.32,116.23,202.87,148.31,41154.3,21996.81,-0.0686,0.4288,0.6466,0.7692,84.25,61.59,69.07,48.27,228.09,152.4,78.8,50.09,92.38,64.96,93.24
AliceSprings_AU,171.73,97.22,213.79,139.8,45706.91,19544.6,0.5791,0.82,0.8662,0.9213,44.6,29.16,35.82,20.28,84.38,73.41,93.28,86.38,98.48,92.03,98.16
Calama_CL,186.34,50.57,207.78,64.96,43172.07,4219.95,0.6751,0.9682,0.8392,0.9862,33.05,10.33,29.64,8.04,93.36,21.9,88.51,83.13,92.8,87.7,97.39
CapeTown_ZA,94.84,67.0,126.64,95.08,16037.4,9040.0,0.8499,0.9154,0.9234,0.9589,24.53,18.42,18.37,12.98,50.88,44.64,96.87,94.69,98.26,96.44,99.48
Cordoba_ES,148.54,104.44,198.43,139.51,39374.53,19462.13,0.112,0.5611,0.7717,0.8271,69.2,48.65,51.8,36.42,149.85,120.67,88.0,68.8,99.32,81.29,96.59
Phoenix_AZ,175.81,72.74,201.16,104.46,40464.52,10912.53,0.3232,0.8175,0.7201,0.9221,55.49,28.82,48.5,20.07,202.93,74.29,80.39,64.34,87.72,74.23,92.33
Dubai_AE,65.92,69.45,94.5,102.07,8929.97,10417.28,0.8706,0.849,0.9355,0.937,23.49,25.37,16.39,17.26,64.66,64.62,96.62,92.66,98.03,95.27,99.36
